el0ps+_solve_time,el0ps_solve_time,l0bnb_solve_time,cplex_solve_time,gurobi_solve_time,mosek_solve_time,max_solve_time,objective_value,datafit_value,el0ps+_normalized_datafit_value,mosek_normalized_datafit_value,n_nnz
0.010279804468154907,0.01272930039299859,,,,4.38213586807251,3600.0,0.6931471805599451,0.6931471805599452,1,1,0.0
0.02801838517189026,0.4791243341233995,,,,115.97977590560913,3600.0,0.6844501723783616,0.41116645637762944,0.59318781,0.59318781,1.0
0.19968846440315247,1.8620170487297907,,,,369.84696102142334,3600.0,0.5230990103525804,0.3478272619124288,0.50180867,0.50180867,2.0
0.379162073135376,2.566283702850342,,,,506.8065631389618,3600.0,0.48283229635846187,0.28761086057386637,0.41493476,0.41493476,3.0
1.9460378885269165,11.091902441448635,,,,827.35340309143066,3600.0,0.431934703109184,0.25300473928325745,0.36500868,0.36500868,4.0
3.1888731718063354,18.301197873221504,,,,866.9563820362091,3600.0,0.4191137423506499,0.1859974209120411,0.26833756,0.26833756,6.0
2.614374428987503,14.107949468824598,,,,1462.59795808792114,3600.0,0.37639849938184733,0.17421989666362325,0.25134618,0.25134618,7.0
3.5674091577529907,19.5721980465783,,,,1477.41279888153076,3600.0,0.35090226851675044,0.15737146673521368,0.22703903,0.22703903,8.0
11.609566539525986,65.48013361295064,,,,1610.3783810138702,3600.0,0.3281876587606276,0.14096915785049152,0.2033755,0.2033755,9.0
11.81379371881485,65.66674039098952,,,,1763.7957470417023,3600.0,0.31610730637941165,0.12723752497603852,0.18356495,0.18356495,11.0
6.665209889411926,36.74657310379876,,,,2183.215469121933,3600.0,0.30365798428442126,0.11324203875609211,0.16337373,0.16337373,12.0
9.848672270774841,54.212649292416046,,,,2395.79155588150024,3600.0,0.28212863509585995,0.1034783135968396,0.14928765,0.14928765,14.0
75.9804895222187,444.93668389320374,,,,3600.0,3600.0,0.25344712703120975,0.09075375515227477,0.13092999,0.13092999,17.0
107.22455295920372,629.0226694477929,,,,,3600.0,0.2444009806957092,0.08747193627985732,0.12619533,,18.0
80.74835285544395,472.7127664089203,,,,,3600.0,0.2353408584125733,0.08115144355345036,0.11707679,,20.0
97.07110106945038,573.7075558503469,,,,,3600.0,0.2268928338647221,0.0786329525604195,0.11344337,,21.0
173.4809884428978,1034.4986586835648,,,,,3600.0,0.21890361799585745,0.07645689746572928,0.11030399,,22.0
212.72827723622322,1262.5663644472759,,,,,3600.0,0.21106738508756062,0.07257552757106882,0.10470435,,24.0
369.68619817495346,2187.3256312741173,,,,,3600.0,0.20363763260923268,0.0684191407183565,0.09870796,,26.0
375.16143199801445,2219.3717119958665,,,,,3600.0,0.1963233461629626,0.06439207040464415,0.09289812,,29.0
831.5534367263317,3600.0,,,,,3600.0,0.18948845509980328,0.06212733318366759,0.0896308,,31.0
725.7060925066471,,,,,,3600.0,0.18269908825764852,0.05846939115912932,0.0843535,,34.0
525.4498066902161,,,,,,3600.0,0.17618893476604058,0.05645932510240322,0.08145359,,36.0
868.6096871495247,,,,,,3600.0,0.17002001349427692,0.05583639464539834,0.08055489,,37.0
674.9581767916679,,,,,,3600.0,0.16399501740520228,0.0506257254860001,0.07303748,,43.0
770.0492954850197,,,,,,3600.0,0.15825901697690203,0.05039724568535764,0.07270786,,44.0
1364.1063610315323,,,,,,3600.0,0.1527755217245324,0.04776574082334778,0.0689114,,48.0
2249.6393480598927,,,,,,3600.0,0.1474954514901819,0.04574685672486262,0.06599876,,52.0
1888.5913003385067,,,,,,3600.0,0.14237704939351115,0.0437429884385377,0.06310779,,56.0
485.4941621720791,,,,,,3600.0,0.13738660194468882,0.041645295418648205,0.06008146,,61.0
735.0212094187737,,,,,,3600.0,0.1326921505208774,0.04017088118786867,0.05795433,,65.0
3083.2699756622314,,,,,,3600.0,0.12825077137348803,0.03891143930278038,0.05613734,,70.0
3600.0,,,,,,3600.0,,,,,71.0
